RepairID,PC_ID,UserComplaint,Symptoms,ProblemDetected,ConfirmedDiagnosis,RootCause,TreatmentTaken,RepairStatus,TechnicianNotes,ResolutionVerified
REP-00089,DRDO-PC-0008,System becomes hot and starts throttling during recent operation.,Thermal throttling; elevated fan activity,Overheating,Thermal throttling condition confirmed,Restricted airflow around CPU cooler,Removed airflow obstruction around processor cooler,Completed,Diagnosis confirmed through targeted checks. Removed airflow obstruction around processor cooler,Yes
REP-00064,DRDO-PC-0079,Maintenance note: High temperature warning appears during processing.,High temperature alert; reduced clock speed,Overheating,Processor thermal limit exceeded,Heatsink contact pressure reduced,Reseated heatsink and renewed thermal interface material,Completed,Diagnosis confirmed through targeted checks. Reseated heatsink and renewed thermal interface material,Yes
REP-00827,DRDO-PC-0024,User reports: User reports no active problem,No user-observed fault,No Problem,No active problem identified,No active failure mechanism,No repair performed; advised normal monitoring,Completed,Diagnosis confirmed through targeted checks. No repair performed; advised normal monitoring,Yes
REP-00717,DRDO-PC-0065,User reports: PC turns off immediately after starting a demanding task during recent operation.,Immediate shutdown on demanding workload,Power Issue,Immediate load-triggered power protection event,Load-triggered overcurrent or undervoltage protection,Corrected overload condition and replaced degraded supply if needed,Completed,Diagnosis confirmed through targeted checks. Corrected overload condition and replaced degraded supply if needed,Yes
REP-00352,DRDO-PC-0074,Maintenance note: Storage device disconnects intermittently and requests diagnosis.,Intermittent storage disconnect,Disk Failure,Intermittent storage availability,Intermittent connector or device fault,Checked connector and replaced intermittent storage device,Completed,Diagnosis confirmed through targeted checks. Checked connector and replaced intermittent storage device,Yes
REP-00937,DRDO-PC-0056,Observed issue: User requests confirmation that hardware is healthy and requests diagnosis.,No hardware symptoms reported,No Problem,Hardware health check passed,No hardware defect detected,Verified hardware health and documented baseline,Completed,Diagnosis confirmed through targeted checks. Verified hardware health and documented baseline,Yes
REP-00257,DRDO-PC-0053,Observed issue: Drive health warning appears after startup.,Drive-health alert; degraded SMART status,Disk Failure,Drive health degradation,Wear-related storage degradation,Performed backup and replaced drive with degraded health indicators,Completed,Diagnosis confirmed through targeted checks. Performed backup and replaced drive with degraded health indicators,Yes
REP-00636,DRDO-PC-0052,User reports: Power supply fan behaves erratically and shutdowns occur,Erratic PSU fan; power loss,Power Issue,Power supply degradation,Aging power supply components,Replaced aging PSU and confirmed stable fan and output behavior,Completed,Diagnosis confirmed through targeted checks. Replaced aging PSU and confirmed stable fan and output behavior,Yes
REP-00645,DRDO-PC-0021,Observed issue: Power becomes unstable during heavy processing.,Unstable voltage during heavy workload,Power Issue,Power rail instability,Unstable voltage regulation,Replaced unstable power supply and verified voltage regulation,Completed,Diagnosis confirmed through targeted checks. Replaced unstable power supply and verified voltage regulation,Yes
REP-00555,DRDO-PC-0011,Maintenance note: Browser or application memory never returns after tabs close and requests diagnosis.,Memory not reclaimed after workload ends,Memory Leak,Application memory reclamation failure,Application cache not released,Cleared faulty cache behavior and updated application,Completed,Diagnosis confirmed through targeted checks. Cleared faulty cache behavior and updated application,Yes
REP-00960,DRDO-PC-0028,Maintenance note: Standard periodic health audit requested and requests diagnosis.,No active issue during periodic audit,No Problem,Periodic health audit passed,Routine periodic audit,Completed periodic audit and retained normal monitoring,Completed,Diagnosis confirmed through targeted checks. Completed periodic audit and retained normal monitoring,Yes
REP-00169,DRDO-PC-0006,System becomes hot and starts throttling,Thermal throttling; elevated fan activity,Overheating,Thermal throttling condition confirmed,Restricted airflow around CPU cooler,Removed airflow obstruction around processor cooler,Completed,Diagnosis confirmed through targeted checks. Removed airflow obstruction around processor cooler,Yes
REP-00918,DRDO-PC-0085,User reports: Machine operates normally across daily tasks during recent operation.,Stable daily operation,No Problem,Daily workload stability confirmed,Normal daily operating condition,Tested normal daily workload and confirmed stability,Completed,Diagnosis confirmed through targeted checks. Tested normal daily workload and confirmed stability,Yes
REP-00529,DRDO-PC-0014,Observed issue: Multiple applications crash after memory usage climbs and requests diagnosis.,Application crashes under high memory pressure,Memory Leak,Memory-pressure-induced application instability,Memory pressure from unreleased application objects,Updated unstable application and validated under memory pressure,Completed,Diagnosis confirmed through targeted checks. Updated unstable application and validated under memory pressure,Yes
REP-00824,DRDO-PC-0045,User reports: No fault reported; requesting standard diagnostics,Normal operation; diagnostics requested,No Problem,No reproducible hardware issue,No underlying fault identified,Ran standard diagnostics; no corrective action required,Completed,Diagnosis confirmed through targeted checks. Ran standard diagnostics; no corrective action required,Yes
REP-00986,DRDO-PC-0036,User reports: Scheduled maintenance check requested,No active symptoms; scheduled maintenance,No Problem,Scheduled maintenance condition,Scheduled inspection interval,Completed scheduled cleaning and inspection,Completed,Diagnosis confirmed through targeted checks. Completed scheduled cleaning and inspection,Yes
REP-00817,DRDO-PC-0056,User requests confirmation that hardware is healthy,No hardware symptoms reported,No Problem,Hardware health check passed,No hardware defect detected,Verified hardware health and documented baseline,Completed,Diagnosis confirmed through targeted checks. Verified hardware health and documented baseline,Yes
REP-00087,DRDO-PC-0098,PC overheats when multiple applications are open during recent operation.,High temperature with prolonged workload,Overheating,Sustained thermal overload,Sustained workload with impaired cooling,Restored cooling path and validated under continuous load,Completed,Diagnosis confirmed through targeted checks. Restored cooling path and validated under continuous load,Yes
REP-00433,DRDO-PC-0087,User reports: Long-running process causes gradual memory exhaustion,Long-running process retains memory,Memory Leak,Long-lived process allocation leak,Long-lived object retention,Updated long-running process and performed endurance test,Completed,Diagnosis confirmed through targeted checks. Updated long-running process and performed endurance test,Yes
REP-00185,DRDO-PC-0036,User reports: Machine gets unusually hot while running simulations,Persistent heat under load; performance degradation,Overheating,Cooling system unable to dissipate workload heat,Undersized or degraded cooling performance,Serviced cooling assembly and performed sustained-load test,Completed,Diagnosis confirmed through targeted checks. Serviced cooling assembly and performed sustained-load test,Yes
